Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,12p,
"C10, C13, C15, C4, C8",0805,5,10u,
C11,0805,1,1u,
"C12, C14, C16, C18, C21, C27, C28, C3, C31, C33, C34, C36, C37, C41, C42, C43, C44, C45, C49, C50, C7, C9",0603,22,100n,
"C17, C19, C20",C_Radial_D5.0mm_H11.0mm_P2.00mm,3,47u,
"C22, C23",0603,2,18p,
"C24, C25, C26, C29, C32, C35",1210,6,10u,
"C30, C40",C_Radial_D4.0mm_H7.0mm_P1.50mm,2,4.7u,
C46,0603,1,3.3n,
C47,0603,1,56n,
C48,0603,1,4.7u,
"D1, D2, D3, D4",1210,4,LED,
"J1, J2, J3, J4",Jack_XLR_Neutrik_NC3MAH_Horizontal,4,NC3MAH,
"J10, J11",Jack_3.5mm_Lumberg_1503_07_Horizontal,2,AudioJack3,
"J5, J6",Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal,2,XLR3_AudioJack3_Combo_Ground,
J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J9,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Conn_01x06_Pin,
Q1,SOT-223-3_TabPin2,1,BC327,
Q2,SOT-23,1,AO3400A,
R1,0603,1,1k,
"R10, R12, R32, R8",0603,4,10k,
"R11, R9",0603,2,47k,
"R13, R16, R19, R2, R22, R3, R7",0603,7,33,
R14,0603,1,0,
"R15, R18, R21, R24",0603,4,22k,
"R25, R26",0603,2,5.1k,
"R27, R31, R34, R35, R4",0603,5,2k2,
"R28, R29",0603,2,4k7,
R30,0603,1,475,
R33,0603,1,220,
R5,0603,1,18k,
R6,0603,1,80,
"RV1, RV2",Potentiometer_Alps_RK09Y11_Single_Horizontal,2,R_Potentiometer,
"SW1, SW2, SW8",SW_SPST_PTS645Sx43SMTR92,3,SW_Push,
"SW6, SW7",SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,2,SW_SPST,
U1,LQFP-48_7x7mm_P0.5mm,1,ADAU1701,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,CAT24C256,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F411RETx,
U5,Converter_DCDC_TRACO_TME_03xxS_05xxS_12xxS_Single_THT,1,TME-0505S,
U6,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM3160,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12.228M,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
