Designator,Mid X,Mid Y,Rotation,Layer
C1,144.6,-64.0,0.0,top
C10,193.6,-77.0,0.0,top
C11,208.2,-69.4,270.0,top
C12,198.2,-69.2,90.0,top
C13,200.2,-69.425,90.0,top
C14,194.2,-69.2,90.0,top
C15,196.2,-69.425,90.0,top
C16,203.5,-70.0,0.0,top
C17,204.0,-66.0,0.0,top
C18,138.5,-85.525,270.0,top
C19,134.2,-85.725,270.0,top
C2,144.0,-69.4,180.0,top
C20,134.3,-68.1,0.0,top
C21,134.8,-72.3,0.0,top
C22,216.5,-75.25,0.0,top
C23,216.55,-80.65,180.0,top
C24,189.0,-57.075,270.0,top
C25,217.4,-57.2,270.0,top
C26,82.8,-51.1,180.0,top
C27,196.0,-73.0,0.0,top
C28,73.3,-51.2,180.0,top
C29,111.375,-51.2,180.0,top
C3,204.9,-85.0,270.0,top
C30,127.15,-83.8,270.0,top
C31,101.4,-51.2,180.0,top
C32,140.0,-51.1,180.0,top
C33,114.0,-81.1,180.0,top
C34,130.3,-50.9,180.0,top
C35,169.1,-51.2,180.0,top
C36,115.9,-65.5,90.0,top
C37,158.7,-51.2,180.0,top
C4,193.0,-94.3,180.0,top
C40,166.3,-62.2,0.0,top
C41,167.175,-65.25,0.0,top
C42,152.5,-58.1,90.0,top
C43,154.2,-76.9,270.0,top
C44,147.7,-69.85,180.0,top
C45,139.5,-65.1,270.0,top
C46,211.1,-71.8,180.0,top
C47,211.1,-74.8,180.0,top
C48,159.7,-75.85,270.0,top
C49,148.5,-63.0,180.0,top
C5,197.995,-83.945,180.0,top
C50,162.5,-75.5,270.0,top
C7,211.1,-73.3,180.0,top
C8,211.1,-76.6,180.0,top
C9,202.6,-85.0,90.0,top
D1,141.5,-91.0,90.0,top
D2,145.79,-91.0,90.0,top
D3,228.3,-91.0,90.0,top
D4,232.3,-91.0,90.0,top
H1,63.0,-35.0,0.0,top
H2,239.0,-35.0,0.0,top
H3,239.0,-92.0,0.0,top
H4,63.0,-92.0,0.0,top
J1,79.69,-40.465,180.0,top
J10,64.25,-75.15,90.0,top
J11,64.25,-63.15,90.0,top
J2,108.19,-40.465,180.0,top
J3,136.81,-40.465,180.0,top
J4,165.41,-40.465,180.0,top
J5,222.045,-44.24,90.0,top
J6,193.115,-44.24,90.0,top
J7,117.2,-93.9,0.0,top
J8,218.0,-90.425,180.0,top
J9,173.0,-68.25,270.0,top
JP1,130.25,-80.6,0.0,top
JP2,115.0,-73.225,90.0,top
JP3,118.0,-73.225,90.0,top
JP4,130.225,-89.2,0.0,top
Q1,199.6,-92.05,180.0,top
Q2,158.7,-87.8,180.0,top
R1,200.9,-85.0,270.0,top
R10,185.7,-58.6,0.0,top
R11,213.9,-55.7,180.0,top
R12,213.9,-58.7,0.0,top
R13,78.7,-51.2,0.0,top
R14,148.5,-66.4,180.0,top
R15,76.0,-52.0,270.0,top
R16,107.0,-51.2,0.0,top
R18,104.2,-51.9,270.0,top
R19,135.7,-50.9,0.0,top
R2,193.565,-82.675,90.0,top
R21,133.0,-51.7,270.0,top
R22,164.6,-51.2,0.0,top
R24,161.6,-51.9,270.0,top
R25,124.5,-87.5,0.0,top
R26,124.5,-93.4,0.0,top
R27,145.8,-86.5,270.0,top
R28,155.775,-57.95,270.0,top
R29,157.275,-57.95,270.0,top
R3,192.065,-82.675,90.0,top
R30,213.6,-68.9,270.0,top
R31,141.5,-86.5,270.0,top
R32,152.2,-87.7,270.0,top
R33,154.7,-86.9,180.0,top
R34,228.3,-87.0,270.0,top
R35,232.3,-87.0,270.0,top
R4,190.565,-82.675,270.0,top
R5,193.7,-75.2,0.0,top
R6,211.0,-78.6,180.0,top
R7,175.875,-84.0,0.0,top
R8,183.0,-83.3,90.0,top
R9,185.7,-55.5,180.0,top
RV1,75.5,-88.0,90.0,top
RV2,95.5,-88.0,90.0,top
SW1,179.0,-90.0,180.0,top
SW2,124.6,-60.4,180.0,top
SW6,197.69,-58.0,180.0,top
SW7,226.69,-58.0,180.0,top
SW8,166.32,-90.0,0.0,top
U1,201.6,-77.8,270.0,top
U2,191.565,-88.175,0.0,top
U3,136.4,-77.7,90.0,top
U4,156.975,-67.35,270.0,top
U5,128.0,-73.09,180.0,top
U6,116.575,-73.35,0.0,top
Y1,216.5,-77.8,180.0,top
Y2,144.3,-66.7,180.0,top
